Size,Sectors,Conflicts
1024,1024,262272,0
1024,256,65664,0
1024,512,131200,0
1024,768,196736,0
256,1024,65568,0
256,256,16416,0
256,512,32800,0
256,768,49184,0
258,258,19817,0
258,514,38432,0
258,770,58026,0
512,1024,131136,0
512,256,32832,0
512,512,65600,0
512,768,98368,0
514,258,37963,0
514,514,75620,0
514,770,115704,0
584,584,80827,0
584,880,121430,0
584,890,122708,0
768,1024,196704,0
768,256,49248,0
768,512,98400,0
768,768,147552,0
770,258,56798,0
770,514,114878,0
770,770,170486,0
880,584,122748,0
880,880,184562,0
880,890,189868,0
890,584,149364,0
890,880,227227,0
890,890,226476,0
