0, 0, 9
32, 0, 9
64, 0, 9
96, 0, 9
0, 32, 1993
32, 32, 72649
64, 32, 143305
96, 32, 213961
0, 64, 3977
32, 64, 145289
64, 64, 286601
96, 64, 427913
0, 96, 5961
32, 96, 217929
64, 96, 429897
96, 96, 641865
1, 1, 140
33, 1, 2348
65, 1, 4556
97, 1, 6764
1, 33, 4332
33, 33, 77196
65, 33, 150060
97, 33, 222924
1, 65, 8524
33, 65, 152044
65, 65, 295564
97, 65, 439084
1, 97, 12716
33, 97, 226892
65, 97, 441068
97, 97, 655244
6, 6, 2865
75, 6, 31431
68, 6, 28533
51, 6, 21495
6, 75, 35709
75, 75, 392784
68, 75, 356559
51, 75, 268584
6, 68, 32377
75, 68, 356125
68, 68, 323281
51, 68, 243517
6, 51, 24285
75, 51, 267096
68, 51, 242463
51, 51, 182640
